text,labs
I charge it at night and skip taking the cord with me because of the good battery life.,"[('battery life', None)]"
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,"[('computer', None)]"
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","[('service center', None), ('exchange', None), ('retail shop', None), ('team', None), ('tech guy', None)]"
I investigated netbooks and saw the Toshiba NB305-N410BL.,[]
"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.","[('little time', None), ('large conference', None), ('computer', None), ('other day', None), ('lots', None), ('projector', None), ('seminar', None)]"
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('high quality', None), ('lots', None), ('applications', None)]"
Easy to start up and does not overheat as much as other laptops.,[]
Sad very SAD.,[]
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","[('teenage son', None)]"
Needless to say a PC that can't support a cell phone is less than useless!,"[('cell phone', None), ('pc', None)]"
Great laptop that offers many great features!,"[('laptop', None)]"
they have done absolutely nothing to fix the computer problem.,"[('computer problem', None)]"
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('power light', None), ('next day', None), ('drive light', None)]"
"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.","[('little macbook fund', None)]"
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('i7 processor', None), ('only disappointment', None), ('macbook pro line', None), ('i5', None), ('model', None), ('only ones', None), ('dual graphics cards', None)]"
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,"[('asus', None), ('reset', None), ('blue screen', None), ('battery', None)]"
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[('con', None), ('razor edge', None), ('rubber enclosure', None), ('seal', None)]"
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('external mouse', None), ('large tracking area', None), ('multi-touch gestures', None)]"
Plus it is small and reasonably light so I can take it with me to and from work.,[]
I HATE this one.,[]
They were totally unconcerned that the computer was not correctly repaired in the first place.,"[('first place', None)]"
Toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[('toshiba', None)]"
"Oh, boy!",[]
