text,labs
But the staff was so horrible to us.,"[('staff', None)]"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[('only redeeming factor', None), ('other deficiencies', None), ('above average', None)]"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('kitchen', None), ('food', None)]"
Where Gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None)]"
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",[]
"Not only was the food outstanding, but the little 'perks' were great.","[('perks', None)]"
It is very overpriced and not very tasty.,[]
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('waiters', None), ('half', None), ('dish', None)]"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('taste', None), ('texture', None)]"
Nevertheless the food itself is pretty good.,"[('food', None)]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('st. germain', None), ('black sabbath', None), ('z', None), ('megadeth', None), ('mr. scruff', None), ('traditional vietnamese songs', None), ('daft punk', None)]"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('mayonnaise', None), ('temperatures', None)]"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[('drinks', None), ('check', None)]"
The design and atmosphere is just as good.,"[('design', None), ('atmosphere', None)]"
He has visited Thailand and is quite expert on the cuisine.,"[('cuisine', None)]"
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[('mary', None), ('regular neighborhood haunts', None)]"
The pizza is the best if you like thin crusted pizza.,[]
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[('other night', None), ('time', None)]"
"He can't help, they're bought up so fast.",[]
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[('upper east side ladies perfume', None)]"
"i have eaten here a handful of times, for no reason besides sheer convenience.","[('sheer convenience', None)]"
Obviously run by folks who know a pie.,[]
We were very disappointed.,[]
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,[]
I really liked this place.,[]
I will be going back very soon.,[]
"All the money went into the interior decoration, none of it went to the chefs.","[('interior decoration', None)]"
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('wooden benches', None), ('seats', None)]"
"I asked for seltzer with lime, no ice.",[]
It was pretty inexpensive too.,[]
Will not be back.,[]
