text,labs,set_similarity,labs_similarity
I charge it at night and skip taking the cord with me because of the good battery life.,"[('cord', '45', '41', 'neutral'), ('battery life', '86', '74', 'positive')]",0.07942019402980804,0.11038759
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,[],0.26413851976394653,0.25995094
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","[('service center', '41', '27', 'negative'), ('""sales"" team', '121', '109', 'negative'), ('tech guy', '12', '4', 'neutral')]",0.2561540901660919,0.20535058
I investigated netbooks and saw the Toshiba NB305-N410BL.,[],0.3613142669200897,0.32318446
"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",[],0.2611212134361267,0.25040716
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('quality', '21', '14', 'positive'), ('GUI', '39', '36', 'positive'), ('applications', '130', '118', 'positive'), ('use', '146', '143', 'positive')]",0.3534681797027588,0.33574608
Easy to start up and does not overheat as much as other laptops.,"[('start up', '16', '8', 'positive')]",0.31997331976890564,0.30867246
Sad very SAD.,[],0.10820566117763519,0.10004994
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","[('features', '54', '46', 'positive'), ('iChat', '82', '77', 'positive'), ('Photobooth', '94', '84', 'positive'), ('garage band', '107', '96', 'positive')]",0.31548503041267395,0.29727387
Needless to say a PC that can't support a cell phone is less than useless!,[],0.3113565146923065,0.28736052
Great laptop that offers many great features!,"[('features', '44', '36', 'positive')]",0.35036274790763855,0.33407697
they have done absolutely nothing to fix the computer problem.,[],0.1957883983850479,0.17941268
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('GUI', '92', '89', 'negative'), ('screen', '100', '94', 'negative'), ('power light', '122', '111', 'neutral'), ('hard drive ligh', '146', '131', 'negative')]",0.22449429333209991,0.2046838
"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.",[],0.2853109836578369,0.26508746
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('processor', '128', '119', 'negative'), ('graphics cards', '152', '138', 'negative'), ('battery life', '217', '205', 'positive')]",0.19308660924434662,0.18566671
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,"[('battery', '94', '87', 'neutral')]",0.21328037977218628,0.20051003
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[('rubber enclosure', '66', '50', 'positive'), ('edge', '112', '108', 'negative')]",0.24097521603107452,0.19821493
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('multi-touch gestures', '33', '13', 'positive'), ('tracking area', '57', '44', 'positive'), ('external mouse', '87', '73', 'neutral'), ('gaming', '121', '115', 'neutral')]",0.21579453349113464,0.19208819
Plus it is small and reasonably light so I can take it with me to and from work.,[],0.17187516391277313,0.1662764
I HATE this one.,[],0.17590898275375366,0.16938731
They were totally unconcerned that the computer was not correctly repaired in the first place.,[],0.24070309102535248,0.21573429
Toshiba does not send any one out unless you have paid extra to have the on site repair done.,[],0.2568872570991516,0.22076519
"Oh, boy!",[],0.2307613044977188,0.22061424
But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,[],0.19276709854602814,0.17050666
I love the way the entire suite of software works together.,"[('suite of software', '43', '26', 'positive')]",0.3196021020412445,0.28399146
The speed is incredible and I am more than satisfied.,"[('speed', '9', '4', 'positive')]",0.2225300520658493,0.21932147
on the bright side at least I wasn't without my laptop for long this time!,[],0.3074823319911957,0.28600183
This laptop meets every expectation and Windows 7 is great!,"[('Windows 7', '49', '40', 'positive')]",0.3093184530735016,0.3092993
That's how frustrating it was.,[],0.045682959258556366,0.04067228
I can barely use any usb devices because they will not stay connected properly.,"[('usb devices', '32', '21', 'negative')]",0.13642975687980652,0.113895915
"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",[],0.3043478727340698,0.30420098
"-No backlit keyboard, but not an issue for me.","[('keyboard', '20', '12', 'conflict')]",0.25662580132484436,0.25743937
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"[('software', '58', '50', 'neutral'), ('system', '117', '111', 'negative')]",0.2040611207485199,0.1955548
I can't even turn it off.,[],0.3086254596710205,0.3041561
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.","[('Microsoft office for the mac', '79', '51', 'negative')]",0.10981496423482895,0.070070535
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,"[('syncing', '74', '67', 'positive')]",0.15309424698352814,0.15055436
I shopped around before buying.,[],0.2912103831768036,0.2854543
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","[('30"" HD Monitor', '46', '32', 'positive'), ('screen', '86', '80', 'neutral')]",0.21545147895812988,0.20041545
Would do business again.,[],0.265229195356369,0.2632381
The machine is slow to boot up and occasionally crashes completely.,"[('boot up', '30', '23', 'negative')]",0.2795061469078064,0.2752603
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[('service', '53', '46', 'negative')]",0.16762560606002808,0.14531463
I have had the luxury (sarcasm) of owning 2 of these laptops.,[],0.33007293939590454,0.31877998
What a waste.,[],0.20138540863990784,0.2206569
It was a total Dhell experience that I will never repeat.,[],0.062441885471343994,0.061778847
There are a few flaws as well that I noticed.,[],0.162845179438591,0.14541343
Completely worth every single penny dime and nickel.,[],0.1308588981628418,0.14402866
I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,[],0.06731132417917252,0.053311966
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","[('battery', '33', '26', 'conflict')]",0.05329604819417,0.0820704
:) In the past four years I've had it I have never once gotten a virus.,[],0.1166314110159874,0.12693775
I love the operating system and the preloaded software.,"[('operating system', '27', '11', 'positive'), ('preloaded software', '54', '36', 'positive')]",0.40740013122558594,0.38346025
"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.",[],0.14057989418506622,0.10622517
I've tried going back to XL but there still problems.,[],0.07175690680742264,0.06855507
The best thing about this laptop is the price along with some of the newer features.,"[('price', '45', '40', 'positive'), ('features', '83', '75', 'positive')]",0.38336318731307983,0.36586866
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).","[('clock in BIOS setup', '76', '57', 'negative')]",0.08343774825334549,0.060045563
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,"[('WARRANTY SERVICE', '60', '44', 'negative')]",0.05167485773563385,0.037343595
But it may be potentially hundreds or thousands in the near future.,[],0.028858216479420662,0.03139785
Has met or exceeded my needs for a compact travel device.,[],0.28403162956237793,0.25524977
but now i have realized its a problem with this brand.,"[('brand', '53', '48', 'negative')]",0.18596182763576508,0.17988932
It cannot save the correct date and time I set.,[],0.12783750891685486,0.1197842
I sent it back to Toshiba twice they covered it under the  warranty.,"[('warranty', '67', '59', 'positive')]",0.3113567531108856,0.28251374
And this isn't just my one experine.,[],0.16433085501194,0.16211587
They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,[],0.13351063430309296,0.10874181
I was looking for a mac which is portable and has all the features that I was looking for.,"[('features', '66', '58', 'positive')]",0.25962480902671814,0.21527675
I would highly recommend this one to my friends,[],0.3114902675151825,0.28216174
"I honestly love my mac, thats why I am a self proclaimed mac addict.",[],0.2738667130470276,0.24056992
And these are some reasons you should get a macbook pro.,[],0.3849567770957947,0.3534034
Also kinda loud when the fan was running.,"[('fan', '28', '25', 'negative')]",0.09861918538808823,0.09309299
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","[('Customer Service number', '54', '31', 'neutral'), ('warranty', '84', '76', 'negative'), ('talking to a technician', '160', '137', 'negative')]",0.19262045621871948,0.17230415
I purchased this laptop while on a business trip to keep up with my email.,[],0.3410540223121643,0.32489297
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"[('hard disc', '52', '43', 'negative'), ('windows', '77', '70', 'negative'), ('drivers', '129', '122', 'neutral')]",0.0731535404920578,0.06650353
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,"[('Drivers', '7', '0', 'positive'), ('BIOS update', '38', '27', 'negative'), ('system', '55', '49', 'negative')]",0.17618225514888763,0.1694871
-they lost my laptop for a month,[],0.3960280418395996,0.38845134
Spent 2 hours on phone with HP Technical Support.,"[('HP Technical Support', '48', '28', 'neutral')]",0.3684300184249878,0.36126822
"This is my second laptop,and it is head and shoulders above my first.",[],0.3276718556880951,0.30011097
at first!,[],0.2503041625022888,0.24777992
"Speaking of the browser, it too has problems.","[('browser', '23', '16', 'negative')]",0.2758942246437073,0.26571846
I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,[],0.22571083903312683,0.19867676
The keyboard is too slick.,"[('keyboard', '12', '4', 'negative')]",0.34093359112739563,0.32097226
Nightly my computer defrags itself and runs a virus scan.,"[('virus scan', '56', '46', 'neutral')]",0.2885923683643341,0.2759955
"It's like 9 punds, but if you can look past it, it's GREAT!","[('9 punds', '17', '10', 'negative')]",0.12687043845653534,0.13581146
It's just as fast with one program open as it is with sixteen open.,"[('program', '34', '27', 'neutral')]",0.21552298963069916,0.22105217
"Still under warrenty so called Toshiba, no help at all.","[('warrenty', '20', '12', 'negative')]",0.3007584512233734,0.2701645
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,"[('Toshiba Warranty', '136', '120', 'negative')]",0.3331696093082428,0.3098843
I LOVE IT!,[],0.23683805763721466,0.22303027
Amazing Quality!,"[('Quality', '15', '8', 'positive')]",0.25658056139945984,0.24917588
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,"[('webcam', '54', '48', 'neutral'), ('value', '76', '71', 'positive')]",0.409187912940979,0.4081198
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","[('internet', '35', '27', 'neutral'), ('managing personal files', '64', '41', 'neutral')]",0.40437644720077515,0.37714234
"A month or so ago, the freaking motherboard just died.","[('motherboard', '43', '32', 'negative')]",0.3089669644832611,0.28849432
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","[('system', '10', '4', 'negative')]",0.2982158362865448,0.27170154
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"[('charger', '37', '30', 'negative'), ('hardware', '100', '92', 'negative')]",0.33333322405815125,0.33605736
I took it back to Best Buy where they were so helpful and immediately gave me a new one.,[],0.2755153775215149,0.23430426
"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",[],0.28639906644821167,0.28573236
"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",[],0.3563619554042816,0.312886
This machine delivers.,[],0.408344566822052,0.3961728
Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,[],0.29396766424179077,0.2741216
I complain again...,[],0.1445532888174057,0.15030661
This laptop is insane!!!,[],0.38201478123664856,0.36787948
"If a website ever freezes (which is rare), its really easy to force quit.","[('force quit', '72', '62', 'positive')]",0.13566561043262482,0.13954872
It does run a little warm but that is a negligible concern.,[],-0.06151344254612923,-0.04788388
It rarely works and when it does it's incredibly slow.,"[('works', '15', '10', 'negative')]",0.22395755350589752,0.2274761
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,"[('Windows 7', '75', '66', 'positive'), ('VMWare program', '109', '95', 'neutral')]",0.22144107520580292,0.20071885
