text,predictions
i charge it at night and skip taking the cord with me because of the good battery life.,"[('cord', None), ('battery', None)]"
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer.,"[('hp pavilion dv4-1222nr', None), ('computer', None)]"
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","[('service center', None), ('sales', None)]"
i investigated netbooks and saw the toshiba nb305-n410bl.,"[('toshiba', None), ('netbooks', None)]"
"the other day i had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.","[('presentation', None), ('time', None)]"
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('gui', None), ('quality', None), ('applications', None)]"
easy to start up and does not overheat as much as other laptops.,"[('laptops', None), ('overheat', None)]"
sad very sad.,[]
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!","[('band', None), ('ichat', None)]"
needless to say a pc that can't support a cell phone is less than useless!,"[('pc', None), ('cell phone', None)]"
great laptop that offers many great features!,"[('features', None), ('laptop', None)]"
they have done absolutely nothing to fix the computer problem.,"[('computer', None), ('fix', None)]"
"one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('gui', None), ('gui', None), ('drive', None)]"
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.","[('macbook', None), ('money', None)]"
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('macbook', None), ('dual graphics cards', None)]"
i took it back for an asus and same thing- blue screen which required me to remove the battery to reset.,"[('screen', None), ('battery', None)]"
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[('macbooks', None), ('seal', None)]"
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('area', None), ('multi-touch gestures', None)]"
plus it is small and reasonably light so i can take it with me to and from work.,"[('work', None), ('light', None)]"
i hate this one.,"[('i', None), ('one', None)]"
they were totally unconcerned that the computer was not correctly repaired in the first place.,"[('computer', None), ('repaired', None)]"
toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[('toshiba', None), ('on place', None)]"
"oh, boy!","[('boy', None), ('oh', None)]"
but while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with apple.,"[('apple', None), ('commercials', None)]"
i love the way the entire suite of software works together.,"[('suite', None), ('software', None)]"
the speed is incredible and i am more than satisfied.,"[('speed', None), ('food', None)]"
on the bright side at least i wasn't without my laptop for long this time!,"[('laptop', None), ('side', None)]"
this laptop meets every expectation and windows 7 is great!,"[('windows 7', None), ('laptop', None)]"
that's how frustrating it was.,[]
i can barely use any usb devices because they will not stay connected properly.,"[('usb', None), ('properly', None)]"
"the one down side to it is that when i play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.","[('certin', None), ('game', None)]"
"-no backlit keyboard, but not an issue for me.","[('backlit keyboard', None), ('computer', None)]"
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed.,"[('droid', None), ('system', None)]"
i can't even turn it off.,"[('i', None), ('turn', None)]"
"one suggestion i do have, is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc.","[('microsoft office', None), ('mac', None)]"
pairing it with an iphone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,"[('syncing', None), ('iphone', None)]"
i shopped around before buying.,"[('shopped', None), ('buying', None)]"
"i also got the added bonus of a 30"" hd monitor, which really helps to extend my screen and keep my eyes fresh!","[('hd monitor', None), ('screen', None)]"
would do business again.,"[('business', None), ('time', None)]"
the machine is slow to boot up and occasionally crashes completely.,"[('machine', None), ('boot', None)]"
"after paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[('service', None), ('hours', None)]"
i have had the luxury (sarcasm) of owning 2 of these laptops.,"[('laptops', None), ('luxury', None)]"
what a waste.,"[('waste', None), ('a', None)]"
it was a total dhell experience that i will never repeat.,"[('experience', None), ('dhell', None)]"
there are a few flaws as well that i noticed.,"[('flaws', None), ('food', None)]"
completely worth every single penny dime and nickel.,"[('dime', None), ('nickel', None)]"
i tried to upgrade it to a newer version a couple of months ago and i still have the same problem.,"[('newer', None), ('problem', None)]"
"i did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","[('battery', None), ('working', None)]"
:) in the past four years i've had it i have never once gotten a virus.,"[('virus', None), ('past', None)]"
