text,terms,lab_sim
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer.,[],0.5300529
"the other day i had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",[],0.2909367
sad very sad.,[],0.11482224
i took it back for an asus and same thing- blue screen which required me to remove the battery to reset.,[],0.4319554
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",[],0.383609
plus it is small and reasonably light so i can take it with me to and from work.,[],0.40228283
i hate this one.,[],0.06834091
"oh, boy!",[],0.15602562
but while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with apple.,[],0.49942636
on the bright side at least i wasn't without my laptop for long this time!,[],0.6116785
that's how frustrating it was.,[],0.16750579
i can barely use any usb devices because they will not stay connected properly.,[],0.26103008
"the one down side to it is that when i play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",[],0.5311197
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed.,[],0.3793455
i shopped around before buying.,[],0.34022996
"i also got the added bonus of a 30"" hd monitor, which really helps to extend my screen and keep my eyes fresh!",[],0.39181268
would do business again.,[],0.16984808
i have had the luxury (sarcasm) of owning 2 of these laptops.,[],0.66672975
there are a few flaws as well that i noticed.,[],0.33230308
i tried to upgrade it to a newer version a couple of months ago and i still have the same problem.,[],0.3422127
:) in the past four years i've had it i have never once gotten a virus.,[],0.31166393
i love the operating system and the preloaded software.,[],0.6214484
"they were great in handling this problem, and i'm looking forward in purchasing additonal products from them in the future.",[],0.3083069
"after numerous attempts of trying (including setting the clock in bios setup directly), i gave up(i am a techie).",[],0.30746296
but it may be potentially hundreds or thousands in the near future.,[],0.09433943
has met or exceeded my needs for a compact travel device.,[],0.381435
and this isn't just my one experine.,[],0.17250533
i would highly recommend this one to my friends,[],0.39396796
and these are some reasons you should get a macbook pro.,[],0.68115556
also kinda loud when the fan was running.,[],0.17707023
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",[],0.3130696
i purchased this laptop while on a business trip to keep up with my email.,[],0.6205836
drivers updated ok but the bios update froze the system up and the computer shut down.,[],0.32678002
-they lost my laptop for a month,[],0.58432764
"this is my second laptop,and it is head and shoulders above my first.",[],0.48098525
at first!,[],0.1193509
nightly my computer defrags itself and runs a virus scan.,[],0.3528349
it's just as fast with one program open as it is with sixteen open.,[],0.37115616
i love it!,[],0.15960014
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).",[],0.51858497
"a month or so ago, the freaking motherboard just died.",[],0.4457698
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,[],0.5375823
i took it back to best buy where they were so helpful and immediately gave me a new one.,[],0.48650995
"*2 weeks after giving the computer for repair*-called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",[],0.38566935
i complain again...,[],0.21588285
"if a website ever freezes (which is rare), its really easy to force quit.",[],0.32554314
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",[],0.4785752
for 2 months.,[],0.25398514
it's not like i have used for half a year and then complained about it.,[],0.42039198
still trying to learn how to use it.,[],0.41278028
"the reality was, it heated up very quickly, and took way too long to do simple things, like opening my documents folder.",[],0.4327303
the genius at the apple store advised me that there was nothing about my use of the computer that caused this failure.,[],0.49412432
we'll save our money to replace it with a mac again!,[],0.6536949
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,[],0.60124713
"then, within 5 months, the charger crapped out on me.",[],0.40044254
i continued to take the computer in again and they replaced the hard drive and mother board yet again.,[],0.53841734
