text,terms
But the staff was so horrible to us.,"[('staff', '13', '8', 'negative')]"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[('food', '61', '57', 'positive')]"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('food', '8', '4', 'positive'), ('kitchen', '62', '55', 'positive'), ('menu', '145', '141', 'neutral')]"
Where Gabriela personaly greets you and recommends you what to eat.,[]
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",[]
"Not only was the food outstanding, but the little 'perks' were great.","[('food', '21', '17', 'positive'), ('perks', '56', '51', 'positive')]"
It is very overpriced and not very tasty.,[]
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('orrechiete with sausage and chicken', '62', '27', 'positive'), ('waiters', '83', '76', 'positive'), ('meats', '157', '152', 'neutral'), ('dish', '117', '113', 'neutral')]"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('Bagels', '10', '4', 'positive')]"
Nevertheless the food itself is pretty good.,"[('food', '21', '17', 'positive')]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('songs', '76', '71', 'neutral')]"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('toast', '46', '41', 'negative'), ('mayonnaise', '28', '18', 'negative'), ('bacon', '131', '126', 'negative'), ('cheese', '79', '73', 'neutral'), ('ingredients', '68', '57', 'negative'), ('plate', '175', '170', 'neutral'), ('omelet', '92', '86', 'neutral')]"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[('drinks', '88', '82', 'neutral'), ('check', '37', '32', 'neutral')]"
The design and atmosphere is just as good.,"[('design', '10', '4', 'positive'), ('atmosphere', '25', '15', 'positive')]"
He has visited Thailand and is quite expert on the cuisine.,"[('cuisine', '58', '51', 'positive')]"
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,[]
The pizza is the best if you like thin crusted pizza.,"[('pizza', '9', '4', 'positive'), ('thin crusted pizza', '52', '34', 'neutral')]"
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,[]
"He can't help, they're bought up so fast.",[]
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",[]
"i have eaten here a handful of times, for no reason besides sheer convenience.",[]
Obviously run by folks who know a pie.,[]
We were very disappointed.,[]
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,[]
I really liked this place.,[]
I will be going back very soon.,[]
"All the money went into the interior decoration, none of it went to the chefs.","[('interior decoration', '47', '28', 'positive'), ('chefs', '77', '72', 'negative')]"
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('seats', '9', '4', 'negative')]"
"I asked for seltzer with lime, no ice.","[('seltzer with lime', '29', '12', 'neutral')]"
It was pretty inexpensive too.,[]
Will not be back.,[]
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('pickles', '84', '77', 'positive'), ('selection of meats and seafoods', '122', '91', 'positive')]"
My suggestion is to eat family style because you'll want to try the other dishes.,"[('dishes', '80', '74', 'neutral'), ('eat family style', '36', '20', 'positive')]"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","[('vibe', '28', '24', 'positive'), ('owner', '39', '34', 'positive'), ('service', '69', '62', 'positive')]"
This isn't a value joint.,[]
Faan's got a great concept but a little rough on the delivery.,"[('delivery', '61', '53', 'negative')]"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('food', '24', '20', 'positive'), ('atmosphere', '48', '38', 'positive'), ('service', '73', '66', 'positive')]"
"Great food at REASONABLE prices, makes for an evening that can't be beat!","[('food', '10', '6', 'positive'), ('prices', '31', '25', 'positive')]"
Look foward to trying the Ruben upon returning.,[]
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,[]
We usually go to the Chart House to celebrate a birthday or anniversary.,[]
this little place has a cute interior decor and affordable city prices.,"[('interior deco', '42', '29', 'positive'), ('prices', '70', '64', 'positive')]"
You'll adore it.,[]
Two words: Free wine.,"[('wine', '20', '16', 'positive')]"
The price is reasonable although the service is poor.,"[('price', '9', '4', 'positive'), ('service', '44', '37', 'negative')]"
"The quantity is also very good, you will come out satisfied.","[('quantity', '12', '4', 'positive')]"
I have been to Roth's twice and both times were very disappointing.,[]
Worth visiting the 1st Ave spot because it is the original store.,[]
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[('sushi', '123', '118', 'neutral'), ('sushi bar', '155', '146', 'neutral')]"
"Raga's is a romantic, cozy restaurant.",[]
The fried rice is amazing here.,"[('fried rice', '14', '4', 'positive')]"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[('mussels', '49', '42', 'positive'), ('puff pastry goat cheese', '74', '51', 'positive'), ('salad with a delicious dressing', '110', '79', 'positive'), ('hanger steak au poivre', '140', '118', 'positive'), ('courses', '13', '6', 'neutral')]"
it's a perfect place to have a amanzing indian food.,"[('indian food', '51', '40', 'positive')]"
The place is so cool and the service is prompt and curtious.,"[('service', '36', '29', 'positive'), ('place', '9', '4', 'positive')]"
