text,pred
I charge it at night and skip taking the cord with me because of the good battery life.,"[('battery life', None)]"
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,"[('computer', None)]"
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","[('service center', None), ('team', None), ('exchange', None), ('tech guy', None), ('shop', None)]"
I investigated netbooks and saw the Toshiba NB305-N410BL.,[]
"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.","[('time', None), ('seminar', None), ('lots', None), ('projector', None), ('conference', None), ('computer', None)]"
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('applications', None), ('quality', None), ('lots', None)]"
Easy to start up and does not overheat as much as other laptops.,[]
Sad very SAD.,[]
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","[('son', None)]"
Needless to say a PC that can't support a cell phone is less than useless!,"[('cell phone', None), ('pc', None)]"
Great laptop that offers many great features!,"[('features', None), ('laptop', None)]"
they have done absolutely nothing to fix the computer problem.,"[('computer problem', None)]"
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('power light', None), ('drive light', None)]"
"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.","[('macbook fund', None)]"
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('model', None), ('ones', None), ('macbook pro line', None), ('i5', None), ('i7 processor', None), ('graphics cards', None)]"
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,"[('reset', None), ('screen', None), ('battery', None), ('asus', None)]"
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[('razor edge', None), ('rubber enclosure', None), ('con', None), ('seal', None)]"
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('gestures', None), ('tracking area', None), ('mouse', None)]"
Plus it is small and reasonably light so I can take it with me to and from work.,[]
I HATE this one.,[]
They were totally unconcerned that the computer was not correctly repaired in the first place.,"[('place', None)]"
Toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[('toshiba', None)]"
"Oh, boy!",[]
But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,"[('things', None), ('commercials', None)]"
I love the way the entire suite of software works together.,"[('software', None), ('suite', None)]"
