text,labs
i charge it at night and skip taking the cord with me because of the good battery life.,"[('battery', None), ('cord', None), ('battery life', None)]"
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer.,"[('hp pavilion dv4-1222nr', None), ('computer', None)]"
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","[('sales', None), ('exchange', None), ('service center', None), ('team', None), ('retail shop', None), ('tech guy', None)]"
i investigated netbooks and saw the toshiba nb305-n410bl.,"[('netbooks', None), ('toshiba', None)]"
"the other day i had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.","[('little time', None), ('lots', None), ('computer', None), ('seminar', None), ('large conference', None), ('presentation', None), ('other day', None), ('projector', None), ('time', None)]"
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('gui', None), ('applications', None), ('lots', None), ('quality', None), ('high quality', None)]"
easy to start up and does not overheat as much as other laptops.,"[('overheat', None), ('laptops', None)]"
sad very sad.,[]
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!","[('ichat', None), ('band', None), ('teenage son', None)]"
needless to say a pc that can't support a cell phone is less than useless!,"[('cell phone', None), ('pc', None)]"
great laptop that offers many great features!,"[('laptop', None), ('features', None)]"
they have done absolutely nothing to fix the computer problem.,"[('computer problem', None), ('computer', None), ('fix', None)]"
"one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('gui', None), ('drive', None), ('next day', None), ('power light', None), ('drive light', None)]"
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.","[('macbook', None), ('money', None), ('little macbook fund', None)]"
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('dual graphics cards', None), ('macbook pro line', None), ('i7 processor', None), ('only ones', None), ('i5', None), ('only disappointment', None), ('model', None), ('macbook', None)]"
i took it back for an asus and same thing- blue screen which required me to remove the battery to reset.,"[('battery', None), ('asus', None), ('reset', None), ('blue screen', None), ('screen', None)]"
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[('con', None), ('razor edge', None), ('macbooks', None), ('seal', None), ('rubber enclosure', None)]"
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('area', None), ('multi-touch gestures', None), ('large tracking area', None), ('external mouse', None)]"
