text,terms,lab_sim
i charge it at night and skip taking the cord with me because of the good battery life.,"[('battery life', None)]",0.2710992
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","[('service center', None)]",0.32960922
i investigated netbooks and saw the toshiba nb305-n410bl.,"[('toshiba', None)]",0.6235722
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('quality', None), ('expandable', None), ('gui', None), ('applications', None)]",0.57734925
easy to start up and does not overheat as much as other laptops.,"[('laptops', None), ('heat', None), ('start up', None)]",0.63931996
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!","[('features', None)]",0.4250696
needless to say a pc that can't support a cell phone is less than useless!,"[('pc', None)]",0.4908183
great laptop that offers many great features!,"[('features', None), ('laptop', None)]",0.6904671
they have done absolutely nothing to fix the computer problem.,"[('computer problem', None)]",0.4581538
"one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('gui', None), ('screen', None), ('hard drive', None), ('power light', None)]",0.3760097
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.","[('pricey', None), ('macbook', None)]",0.677586
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('i5 or i7 processor', None), ('battery life', None)]",0.504406
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('tracking', None), ('multi-touch gestures', None), ('tracking area', None)]",0.41481477
they were totally unconcerned that the computer was not correctly repaired in the first place.,"[('computer', None)]",0.47586283
toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[('toshiba', None)]",0.45225838
i love the way the entire suite of software works together.,"[('software', None)]",0.4547715
the speed is incredible and i am more than satisfied.,"[('speed', None)]",0.40120476
this laptop meets every expectation and windows 7 is great!,"[('windows 7', None)]",0.6494609
"-no backlit keyboard, but not an issue for me.","[('backlit keyboard', None)]",0.4085548
i can't even turn it off.,"[('turn it off', None)]",0.36286196
"one suggestion i do have, is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc.","[('microsoft office', None)]",0.4272787
pairing it with an iphone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,"[('syncing', None)]",0.26519126
the machine is slow to boot up and occasionally crashes completely.,"[('machine', None), ('boot up', None)]",0.58918583
"after paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[('service', None)]",0.25343004
what a waste.,"[('waste', None)]",0.20113224
it was a total dhell experience that i will never repeat.,"[('dhell experience', None)]",0.11517156
completely worth every single penny dime and nickel.,"[('penny dime', None), ('nickel', None)]",0.19345047
"i did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","[('working', None)]",0.34224978
i've tried going back to xl but there still problems.,"[('xl', None)]",0.20931657
the best thing about this laptop is the price along with some of the newer features.,"[('features', None), ('laptop', None), ('price', None)]",0.7812756
you will not be able to talk to an american warranty service is out of country.,"[('warranty service', None)]",0.10739947
but now i have realized its a problem with this brand.,"[('brand', None)]",0.30035028
it cannot save the correct date and time i set.,"[('time', None), ('date', None)]",0.20631064
i sent it back to toshiba twice they covered it under the warranty.,"[('toshiba', None)]",0.5837317
they sent me a replacement part and without informing me are requiring that i return it within 15 days or contact them and let them know the broken part will be returned later.,"[('replacement part', None)]",0.2830074
