text,terms
"Lastly, after spending a little over an hour and most of that time waiting for our food to arrive the manager barked at us to leave to make room for another party that had been waiting for 25 minutes!","[('manager', '109', '102', 'negative'), ('room', '144', '140', 'neutral')]"
"They ran out of the drinks my friends ordered, but the staff was eager-to-please and much appreciated.","[('drinks', '26', '20', 'neutral'), ('staff', '60', '55', 'positive')]"
I was surprise with the Champagne toast from the concierge who booked our dinner.,"[('Champagne toast', '39', '24', 'positive'), ('dinner', '80', '74', 'neutral')]"
"Even if you hate beets, try the beet ravioli- you will not be disappointed!","[('beets', '22', '17', 'negative'), ('beet ravioli', '44', '32', 'positive')]"
the wait staff looks like were doing us a favor giving us service and two loud guys at the bar made my evening with my wife quiet miserable.,"[('wait staff', '14', '4', 'negative'), ('service', '65', '58', 'neutral'), ('bar', '94', '91', 'neutral')]"
"After the bar, they sat us on the side with the wine room with a nice view of everything.","[('bar', '13', '10', 'neutral'), ('view', '74', '70', 'positive')]"
"As for the food, apart from the Chef's Omakase, the appetizers and rolls are just below mediocre for the price they charged.","[('food', '15', '11', 'neutral'), ('Chef', '36', '32', 'neutral'), ('appetizers', '62', '52', 'negative'), ('price', '110', '105', 'negative')]"
Our waitress kept forgetting our drinks.,"[('waitress', '12', '4', 'negative'), ('drinks', '39', '33', 'neutral')]"
"as appetizers, we ordered the zucchini flowers (rich savory) escargot-topped mushroom caps (mediocre).","[('appetizers', '13', '3', 'neutral'), ('zucchini flowers', '46', '30', 'positive'), ('escargot-topped mushroom', '85', '61', 'negative')]"
I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.,"[('hostess', '25', '18', 'negative'), ('specific table', '47', '33', 'neutral')]"
The Food The most dependable route is to stick to appetizers--the cheese bread is quite good--and drinks.,"[('Food', '8', '4', 'positive'), ('appetizers', '60', '50', 'neutral'), ('cheese bread', '78', '66', 'positive')]"
We were not offered bread and the host did not apologize until we asked for another update 45 minutes later.,"[('bread', '25', '20', 'neutral'), ('host', '38', '34', 'negative')]"
"There was a ten minute wait with a reservation, but the bar kept us entertained.","[('wait', '27', '23', 'neutral'), ('reservation', '46', '35', 'neutral'), ('bar', '59', '56', 'positive')]"
Get the pepperoni - YUM - and a family style salad.,"[('pepperoni', '17', '8', 'positive'), ('family style salad', '50', '32', 'neutral')]"
"The food was cold and did not match the description on the menu, the waiter could not be bothered with me (and I am nice to deal with since I work in the industry), and it was way over priced.","[('description', '51', '40', 'negative'), ('menu', '63', '59', 'neutral'), ('waiter', '75', '69', 'negative')]"
the space is very comfortable - they don't rush you - you don't have a server holding your bill in their hand asking if you'd like anything else.,"[('space', '9', '4', 'positive'), ('bill', '95', '91', 'neutral')]"
"The decor isn't the best and the place is very modest, but if you're around Ditmars Blvd.","[('decor', '9', '4', 'negative'), ('place', '38', '33', 'positive')]"
"The baked goods are all pretty good, though the bagels are a touch stale and dry.","[('baked goods', '15', '4', 'positive'), ('bagels', '54', '48', 'negative')]"
"The food was no better then average, and the waitress rushed us through our meal in less then an hour ( drinks, appetizer, entree, desert).","[('food', '8', '4', 'negative'), ('waitress', '53', '45', 'negative'), ('meal', '80', '76', 'neutral'), ('drinks', '110', '104', 'neutral'), ('appetizer', '121', '112', 'neutral'), ('entree', '129', '123', 'neutral'), ('desert', '137', '131', 'neutral')]"
Reservations for parties under 5 people isn't allowed but their yummy cocktails and handsome waiters help soothe the pain.,"[('Reservations', '12', '0', 'neutral'), ('waiters', '100', '93', 'positive')]"
"The only downer was the fruit fondue desert from the prie fixe menu wasn't as good as it looked (the chocolate was runny), and the wait between our salad and main course was too long.","[('fruit fondue', '36', '24', 'negative'), ('prie fixe menu', '67', '53', 'neutral'), ('wait', '135', '131', 'negative')]"
A lot of energy and I loved the actors who came to our table.,"[('actors', '38', '32', 'positive'), ('table', '60', '55', 'neutral')]"
"I had calamari for appetizer which was fried to a golden crisp not overdone , and a veal for main course with a side of pumpkin ravioli which was absolutely to die for.","[('appetizer', '28', '19', 'neutral'), ('veal for main course', '104', '84', 'positive')]"
"The waitress didn't seem to know anything about the menu, she forgot our drinks, took away our wine list after I asked to keep it, and then said, I'm sorry, I only slept 3 hours last night.","[('waitress', '12', '4', 'negative'), ('menu', '56', '52', 'neutral'), ('drinks', '79', '73', 'neutral')]"
I was interrupted by the waiter to say that when we are done with dinner he'd bring one.,"[('waiter', '31', '25', 'negative'), ('dinner', '72', '66', 'neutral')]"
"My companion went to the bathroom and overheard the waiter singing near the back of the place The cappuccino machine is broken, It's broken.","[('bathroom', '33', '25', 'neutral'), ('waiter', '58', '52', 'negative')]"
"The Scene Opened in 1993, Nick's may be the only great pizza place in the city of New York that isn't older than most of the people who eat there.","[('Scene', '9', '4', 'neutral'), ('pizza', '60', '55', 'positive')]"
"A full bar and a dozen different margaritas attract a happy hour crowd, and a tortilla machine is often surrounded by children watching the dough-to-tortilla transformation.","[('margaritas', '43', '33', 'positive'), ('transformation', '172', '158', 'neutral'), ('bar', '10', '7', 'neutral')]"
The Food Palm dry ages its steaks--as opposed to vacuum packing--and the result is evident.,"[('Food', '8', '4', 'negative'), ('steaks', '33', '27', 'neutral')]"
"Fish was clammy, with slight off taste to some(according to my sashimi-eating dinner companion).","[('Fish', '4', '0', 'negative'), ('dinner', '84', '78', 'neutral')]"
"I was tempted to try the dessert because I've heard rave reviews about it, but we were stuffed, as the portions are fairly large.","[('dessert', '32', '25', 'neutral'), ('portions', '111', '103', 'positive')]"
Hunan Delight has one page in their menu full of Vegetarian dishes.,"[('menu', '40', '36', 'neutral'), ('Vegetarian dishes', '66', '49', 'positive')]"
"A dining beacon in an otherwise residential 4 or 5 block radius, Sorrel pleases on every course--from the cold spicy tomato soup and beet salad starters to the delectable skate, the scallops, or steak tartare, straight through to the strange but tasty melon soup or flan-esque orange-and-caramel custard (so bad with names).","[('dining', '8', '2', 'neutral'), ('tomato soup', '128', '117', 'positive'), ('beet salad', '143', '133', 'neutral'), ('scallops', '190', '182', 'positive'), ('steak tartare', '208', '195', 'positive'), ('melon soup', '262', '252', 'positive'), ('orange-and-caramel', '295', '277', 'positive')]"
From the sushi to the terayki the food is excellent and the service (with a smile) is unmatched.,"[('sushi', '14', '9', 'neutral'), ('food', '38', '34', 'positive'), ('service', '67', '60', 'positive')]"
"However, the service was so excellent, we added $10 to the tip!","[('service', '20', '13', 'positive'), ('tip', '62', '59', 'neutral')]"
We got there a bit early and the staff wasn't ready for us but we didn't mind b/c we got to wait by the beautiful bar.,"[('staff', '38', '33', 'negative'), ('bar', '117', '114', 'positive')]"
"The ambience is diner-like and the wait staff is rushed, but at these prices, I can't complain.","[('ambience', '12', '4', 'positive'), ('wait staff', '45', '35', 'negative'), ('prices', '76', '70', 'positive')]"
"While the place looks rather small and undecorated, I will definitely go back just for the food.","[('place', '15', '10', 'negative'), ('food', '95', '91', 'positive')]"
"By the end of the meal, we were shaking hands with/hugging our waiter as we stumbled/rolled out the door.","[('meal', '22', '18', 'neutral'), ('waiter', '69', '63', 'positive')]"
Once seated the waiter took our drink orders only to return 10 minutes later with the wrong drinks.,"[('waiter', '22', '16', 'negative'), ('drinks', '98', '92', 'negative'), ('drink orders', '44', '32', 'neutral')]"
"We did complain to the manager, but she just said there are problems in the kitchen and took the drinks off bill.","[('manager', '30', '23', 'negative'), ('drinks', '103', '97', 'neutral')]"
Plenty of tables to allow for some alone time with a friend in an otherwise sometimes crowded bar area.,"[('tables', '16', '10', 'positive'), ('bar area', '102', '94', 'negative')]"
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,"[('manager', '11', '4', 'neutral'), ('menu', '58', '54', 'neutral'), ('waiter', '120', '114', 'negative')]"
"Italian cheesecake, Cassata Al Forno and pastries you never saw in other bakeries are great.","[('cheesecake', '18', '8', 'neutral'), ('pastries', '49', '41', 'positive')]"
"But the karaoke downstairs is the real draw: You and your friends can sing yourself silly in absolute privacy, for nothing more than the cost of dinner and drinks.","[('karaoke downstairs', '26', '8', 'positive'), ('cost', '141', '137', 'neutral'), ('dinner', '151', '145', 'neutral'), ('drinks', '162', '156', 'neutral')]"
"I mean Pho Viet Huong is at a good location, but face it, the broth is cloudy and oily -they're supposed to constantly dump the top layer off of the Pho broth, service is ran with attitude who cares about you, I have plenty of other customers to make money off of.","[('Pho broth', '158', '149', 'neutral'), ('service', '167', '160', 'negative')]"
"We would have left and gone to another restaurant but the host kept saying that a table was opening up in 5 minutes, people had just paid, etc - except when I went to check the table, they were ordering dessert.","[('host', '62', '58', 'negative'), ('dessert', '210', '203', 'neutral')]"
"My friends and I had a great time - the atmosphere was exciting but didn't encroach on us while we had our meal and drinks (which is better, the kiwitini or the watermelon martini?)","[('atmosphere', '50', '40', 'positive'), ('meal', '111', '107', 'neutral')]"
"The waiters actually roll their eyes when you order something, as if you are imposing on them by ordering food.","[('waiters', '11', '4', 'negative'), ('food', '110', '106', 'neutral')]"
"Although all of the menu items and specials always sound tantalizing, we often end up ordering the pastaless eggplant lasagna and the gnocchi souffle.","[('menu items', '30', '20', 'positive'), ('specials', '43', '35', 'positive'), ('pastaless eggplant lasagna', '125', '99', 'neutral'), ('gnocchi souffle', '149', '134', 'neutral')]"
"We had a horrible night here stemming from intolerable service, no appologies after our food never came out after waiting longer than an hour and a half, and a plate of crusty bread thrown at us when we asked for their signature corn bread.","[('service', '62', '55', 'negative'), ('food', '92', '88', 'negative'), ('waiting', '121', '114', 'negative'), ('plate', '165', '160', 'neutral'), ('corn bread', '239', '229', 'neutral')]"
"With so many $20 bottles of wines from which to choose, our waiter helped pick a good one.","[('wines', '33', '28', 'neutral'), ('waiter', '66', '60', 'positive')]"
If only they'd get a better wine list - the reds are all so mediocre - this would be the perfect meal.,"[('reds', '48', '44', 'negative'), ('meal', '101', '97', 'positive')]"
"On my first visit, I asked the waiter to please wrap my leftovers and was refused adamantly (he told he wasn't allowed to package the low-priced food).","[('waiter', '37', '31', 'negative'), ('food', '149', '145', 'positive')]"
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"[('setting', '133', '126', 'neutral'), ('dinner', '155', '149', 'positive')]"
I've had the same steak at Peter Lugers for double the price.,"[('steak', '23', '18', 'neutral'), ('price', '60', '55', 'negative')]"
"Food is decent but portions so small that after 5 appetizers, 2 sides and three entrees, the three of us left still hungry!","[('portions', '27', '19', 'negative'), ('appetizers', '60', '50', 'neutral'), ('sides', '69', '64', 'neutral'), ('entrees', '87', '80', 'neutral')]"
If you are looking for service and all the frills $$$ - Il Mulino is the best for both - if you are looking for a fabulous dinner in/out - this restaurant is it!,"[('service', '30', '23', 'neutral'), ('dinner in/out', '136', '123', 'positive')]"
"Among us, we ordered a large sampling of the menu, and everyone thoroughly enjoyed their meal.","[('menu', '49', '45', 'neutral'), ('meal', '93', '89', 'positive')]"
The menu does not have much and what we did have - original pizza with pepperoni and sausage was not so great.,"[('menu', '8', '4', 'neutral'), ('pepperoni', '80', '71', 'negative')]"
"I and 3 friends went there last night for dinner and loved the food, which I have to say was uniformly outstanding and some of the best I've had for under a zillion dollars in a long time.","[('dinner', '48', '42', 'neutral'), ('food', '67', '63', 'positive')]"
"The veal was nice and tender, but the flavors weren't exciting.","[('veal', '8', '4', 'positive'), ('flavors', '45', '38', 'negative')]"
"Our waiter was a bit weird as well, but the lounge area looked like a nice place to get a drink after work.","[('waiter', '10', '4', 'negative'), ('lounge area', '55', '44', 'positive'), ('drink', '95', '90', 'neutral')]"
The only problem my party found was that when people asked for knives and forks (there were only chopsticks on the table) the waitress laughed at them.,"[('chopsticks', '107', '97', 'neutral'), ('waitress', '134', '126', 'negative')]"
"Unfortunately, the food is awful, the staff really doesnt care about you, and the frozen hot chocolate is just a chocolate milkshake (it wasnt all that great) I went before lunch on a Thursday and it took me 2 hours to get in.","[('food', '23', '19', 'negative'), ('staff', '43', '38', 'negative'), ('frozen hot chocolate', '102', '82', 'negative'), ('chocolate milkshake', '132', '113', 'negative'), ('lunch', '178', '173', 'neutral')]"
the food sucked straight up looks like a nice place to go out with date and have a couple of drinks.,"[('food', '8', '4', 'negative'), ('drinks', '99', '93', 'neutral')]"
"We were hassled about seating by our waiter who seemed at the end of his pony-tail, so we opted for the bar, quaintly decorated with giant fly strips.","[('waiter', '43', '37', 'negative'), ('bar', '107', '104', 'neutral')]"
Service was unbelievably on target down to the smallest detail; our waiter invited us to sample a new desert under consideration for their menu and a new line of ice wines.,"[('Service', '7', '0', 'positive'), ('waiter', '74', '68', 'positive'), ('menu', '143', '139', 'neutral'), ('wines', '171', '166', 'neutral')]"
"For 2 patrons paying over $100 for dinner, you'd think that the waiter would check to see if everything was okay with the dining experience, and he certainly did not.","[('dinner', '41', '35', 'neutral'), ('waiter', '70', '64', 'negative')]"
The food is not large and I could have had a few slices of pizza after I left.,"[('food', '8', '4', 'negative'), ('slices', '55', '49', 'neutral')]"
"Spring roll did not taste very fresh, soup ok but only had 2 shrimps.","[('Spring roll', '11', '0', 'negative'), ('soup', '42', '38', 'positive'), ('shrimps', '68', '61', 'negative')]"
5 hour meal (we ordered the tasting menu).,"[('hour meal', '11', '2', 'neutral'), ('menu', '40', '36', 'positive')]"
"Basically, all the food on the menu is a half-ass'd attempt at vietnamese food, followed by a innappropriate heap of MSG to make up for the lack of any flavor.","[('menu', '35', '31', 'neutral'), ('flavor', '158', '152', 'negative')]"
"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.","[('waitstaff', '71', '62', 'negative'), ('meal', '134', '130', 'neutral')]"
It was absolutely delicious to the point where i went back and asked for a variety plate They were so nice to accomodate me and gave me almost everything on the menu to taste from.,"[('plate', '88', '83', 'positive'), ('menu', '165', '161', 'neutral')]"
"Our waiter was well versed with the menu and provided us with great service, he didn't hover over the table as some servers tend to do in high end restaurants.","[('waiter', '10', '4', 'positive'), ('service', '75', '68', 'positive'), ('table', '107', '102', 'neutral')]"
"The Scene This storefront eatery is decked with colorful Mexican art and party kitsch, but it gets dim and moody enough in the evenings to suit a date.","[('Scene', '9', '4', 'neutral'), ('Mexican art', '68', '57', 'positive'), ('dim', '102', '99', 'neutral')]"
"It took us about 30 minutes to get seated, the burgers came without lettuce, they brougt us the wrong drinks, and the flavor of the burgers were below average.","[('seated', '41', '35', 'neutral'), ('drinks', '108', '102', 'negative'), ('flavor', '124', '118', 'negative')]"
"Before I went to Nobu for a Restaurant Week lunch, I was told not to order the sushi -- not because it wasn't excellent, but because 1) it's harder for a relatively untrained palate to appreciate the difference between good and excellen sushi than to savor a really well-prepared seafood entree and 2) the servings of sushi are small.","[('lunch', '49', '44', 'neutral'), ('seafood entree', '294', '280', 'positive')]"
