text,aspect_term,polarity,gold_polarity
but the staff was so horrible to us.,staff,negative,negative
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,positive,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,positive,neutral
"not only was the food outstanding, but the little 'perks' were great.",food,positive,positive
"not only was the food outstanding, but the little 'perks' were great.",perks,positive,positive
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,positive
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,positive
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,positive,neutral
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,positive,neutral
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",bagels,positive,positive
nevertheless the food itself is pretty good.,food,positive,positive
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,neutral,neutral
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,negative
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,negative
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,negative
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,negative,neutral
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,negative
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,negative,neutral
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,negative,neutral
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,positive,neutral
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,positive,neutral
the design and atmosphere is just as good.,design,positive,positive
the design and atmosphere is just as good.,atmosphere,positive,positive
he has visited thailand and is quite expert on the cuisine.,cuisine,positive,positive
the pizza is the best if you like thin crusted pizza.,pizza,positive,positive
the pizza is the best if you like thin crusted pizza.,thin crusted pizza,positive,neutral
"all the money went into the interior decoration, none of it went to the chefs.",interior decoration,neutral,positive
"all the money went into the interior decoration, none of it went to the chefs.",chefs,negative,negative
the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,negative
"i asked for seltzer with lime, no ice.",seltzer with lime,negative,neutral
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,positive
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,positive
my suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,neutral
my suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,positive
faan's got a great concept but a little rough on the delivery.,delivery,negative,negative
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,positive
