text,pred
But the staff was so horrible to us.,"[('staff', None)]"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[('average', None), ('factor', None)]"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('kitchen', None), ('food', None)]"
Where Gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None)]"
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",[]
"Not only was the food outstanding, but the little 'perks' were great.","[('perks', None)]"
It is very overpriced and not very tasty.,[]
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('half', None), ('dish', None), ('waiters', None)]"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('texture', None), ('taste', None)]"
Nevertheless the food itself is pretty good.,"[('food', None)]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('sabbath', None), ('mr. scruff', None), ('megadeth', None), ('songs', None), ('z', None), ('st. germain', None), ('daft punk', None)]"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('temperatures', None), ('mayonnaise', None)]"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[('drinks', None), ('check', None)]"
The design and atmosphere is just as good.,"[('design', None), ('atmosphere', None)]"
He has visited Thailand and is quite expert on the cuisine.,"[('cuisine', None)]"
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[('neighborhood haunts', None), ('mary', None)]"
The pizza is the best if you like thin crusted pizza.,[]
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[('time', None)]"
"He can't help, they're bought up so fast.",[]
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[('side ladies perfume', None)]"
"i have eaten here a handful of times, for no reason besides sheer convenience.",[]
Obviously run by folks who know a pie.,[]
We were very disappointed.,[]
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,[]
I really liked this place.,[]
I will be going back very soon.,[]
"All the money went into the interior decoration, none of it went to the chefs.","[('decoration', None)]"
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('seats', None), ('benches', None)]"
"I asked for seltzer with lime, no ice.",[]
It was pretty inexpensive too.,[]
Will not be back.,[]
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('experience', None), ('people', None), ('selection', None), ('pickles', None)]"
My suggestion is to eat family style because you'll want to try the other dishes.,"[('suggestion', None), ('dishes', None), ('family style', None)]"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","[('vibe', None), ('owner', None), ('service', None)]"
This isn't a value joint.,[]
Faan's got a great concept but a little rough on the delivery.,"[('delivery', None), ('concept', None)]"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('downtown neighborhood spot', None), ('service', None), ('beat', None), ('food', None), ('atmosphere', None)]"
"Great food at REASONABLE prices, makes for an evening that can't be beat!","[('prices', None), ('food', None)]"
Look foward to trying the Ruben upon returning.,[]
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[('steakhouse', None), ('candle', None)]"
We usually go to the Chart House to celebrate a birthday or anniversary.,"[('birthday', None), ('anniversary', None)]"
this little place has a cute interior decor and affordable city prices.,"[('city prices', None), ('interior decor', None), ('place', None)]"
You'll adore it.,[]
Two words: Free wine.,"[('wine', None)]"
The price is reasonable although the service is poor.,"[('price', None), ('service', None)]"
"The quantity is also very good, you will come out satisfied.","[('quantity', None)]"
I have been to Roth's twice and both times were very disappointing.,"[('times', None)]"
Worth visiting the 1st Ave spot because it is the original store.,"[('ave spot', None), ('store', None)]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[('sushi lovers', None), ('floor', None)]"
"Raga's is a romantic, cozy restaurant.","[('restaurant', None), ('raga', None)]"
The fried rice is amazing here.,"[('rice', None)]"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[('puff pastry goat cheese', None), ('mussels', None), ('salad', None), ('dressing', None)]"
it's a perfect place to have a amanzing indian food.,"[('food', None), ('place', None)]"
The place is so cool and the service is prompt and curtious.,"[('service', None), ('place', None)]"
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[('noodles', None), ('cup', None), ('broth', None)]"
I just wonder how you can have such a delicious meal for such little money.,"[('money', None), ('meal', None)]"
The food was delicious but do not come here on a empty stomach.,"[('food', None), ('stomach', None)]"
The wine list is excellent.,"[('wine list', None)]"
so garantuan that you can't fit them in a toaster.,"[('toaster', None)]"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[('restaurants', None), ('manhattan', None), ('toons', None)]"
They wouldnt even let me finish my glass of wine before offering another.,"[('glass', None)]"
I highly recommend the Sophia pizza.,[]
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[('questions', None)]"
This is a consistently great place to dine for lunch or dinner.,"[('lunch', None), ('dinner', None), ('place', None)]"
"Nice atmosphere, the service was very pleasant and the desert was good.","[('atmosphere', None), ('service', None)]"
All the people that I bring there go back on their own and bring THEIR friends!,"[('people', None), ('friends', None)]"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,[]
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('atmosphere', None), ('food', None), ('environment', None), ('service', None)]"
Not what I wanted to hear.,[]
Try the lasagnette appetizer.,"[('lasagnette appetizer', None)]"
"Pricey, but worth a try, at least once.","[('try', None)]"
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[('times', None), ('people', None)]"
I liked the beer selection!,[]
"Great food, good size menu, great service and an unpretensious setting.","[('setting', None), ('size menu', None), ('food', None), ('service', None)]"
Go here for a romantic dinner but not for an all out wow dining experience.,"[('dinner', None)]"
Can't wait to go back.,[]
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[('taste buds', None), ('place', None)]"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('wine list selection', None)]"
"With the great variety on the menu , I eat here often and never get bored .","[('menu', None)]"
The menu is very limited - i think we counted 4 or 5 entrees.,"[('menu', None)]"
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[]
The menu is limited but almost all of the dishes are excellent.,"[('menu', None)]"
Not too crazy about their sake martini.,"[('sake martini', None)]"
"Great bagels, spreads and a good place to hang out in.","[('bagels', None), ('spreads', None), ('place', None)]"
"The service varys from day to day- sometimes they're very nice, and sometimes not.","[('service varys', None)]"
"whoever the jazz duo was, they were on POINT.",[]
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[('table', None), ('guests', None)]"
This place is a great bargain.,"[('place', None)]"
We happened upon this place purely by accident and were pleased with the results.,"[('results', None)]"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('restaurant', None), ('food', None)]"
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[('locations', None)]"
We always have a delicious meal and always leave feeling satisfied.,"[('meal', None)]"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[('chopsticks', None), ('ingredients', None)]"
First went here to enjoy their garden terrace.,"[('garden terrace', None)]"
"My husbands was perfect, my was well done and dry.","[('husbands', None)]"
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[('mile', None)]"
The pizza was pretty good and huge.,"[('pizza', None)]"
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[('restaurant', None), ('sapphire', None)]"
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[('cuisine', None)]"
I heartily recommend.,[]
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[('friends', None), ('ones', None)]"
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[('atmosphere', None), ('review', None)]"
They are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', None)]"
All my co-workers were amazed at how small the dish was.,"[('co-workers', None)]"
"The atmosphere is unheralded, the service impecible, and the food magnificant.","[('food', None), ('atmosphere', None)]"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",[]
"The wait staff is friendly, and the food has gotten better and better!","[('wait staff', None)]"
"This place, which is only a few months old, is perhaps Queens' biggest secret!",[]
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[('area', None), ('vibe', None)]"
This place is so much fun.,"[('place', None)]"
I was glad I did.,[]
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[('pizza', None), ('brooklyn', None), ('place', None)]"
I've never been treated so rudely.,[]
I'll be back soon.,[]
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[('menu', None)]"
Went inside and I started to get excited.,[]
I also ordered for delivery and the restaurant forgot half the order.,[]
Our server checked on us maybe twice during the entire meal.,"[('meal', None), ('server', None)]"
"However, it is jus too good to not praise it.",[]
We have been to Montparnasse many times and return often for good reason.,"[('times', None), ('return', None), ('reason', None)]"
The strong scents coming from the left and right of me negatively affected my taste buds.,"[('scents', None)]"
We had the lobster sandwich and it was FANTASTIC.,[]
It's somewhere you can eat and be happy.,[]
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[('rao', None), ('review', None)]"
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",[]
but overall i give it a 10,[]
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('shell crab', None), ('spider roll', None), ('challenge', None)]"
Deep Fried Skewers are good and still rare to find in NYC.,"[('nyc', None), ('deep fried skewers', None)]"
"I have tried to make reservations, but both times, the hostess didn't have my name.","[('hostess', None), ('reservations', None), ('name', None)]"
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[('congee', None), ('rice dishes', None), ('varieties', None)]"
Their tuna tartar appetizer is to die for.,"[('tuna tartar appetizer', None)]"
This was one of the BEST restaurants I've ever been to.,[]
This restaurant used to be pretty decent.,"[('restaurant', None)]"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[('execution', None), ('fish dishes', None), ('soups', None), ('chef', None)]"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[('fare', None), ('cheese', None), ('wine', None), ('artisanal', None)]"
I love Indian food and consider myself to be quite an expert on it.,"[('expert', None), ('food', None)]"
Some baby pizzas get their wish.,[]
Plenty of choices to make your own creation.,"[('choices', None), ('creation', None)]"
It was tiny and I felt like I was eating in someone's living room.,[]
I was there on sat.,[]
Overall A oh ya even though there is waiting it is deff worth it,[]
The lava cake dessert was incredible and I recommend it.,"[('lava cake dessert', None)]"
VT is what baby pizzas hope to be when they grow up.,"[('baby pizzas', None)]"
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('experience', None), ('food', None), ('service', None), ('managers', None)]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[('duck', None), ('food', None), ('lahore', None), ('place', None)]"
The last time I went we were seated at a table in a corridor next to the kitchen.,"[('kitchen', None), ('time', None)]"
good selection of wines ranging from affordable to high end.,"[('wines', None), ('end', None), ('selection', None)]"
"Nice restaurant overall, with classic upscale Italian decor.","[('restaurant', None), ('decor', None)]"
Not impressed with the food.,"[('food', None)]"
The entire dining experience was wonderful!,"[('dining experience', None)]"
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[('glass', None), ('bottle', None), ('wine selection', None)]"
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('service', None)]"
"Order the panang duck, it's fantastic.",[]
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[('food', None), ('vegatables', None)]"
"Other than the crappy service from two individuals, it's great.","[('service', None)]"
What more can you ask for?,[]
