text,terms
The decor is not special at all but their food and amazing prices make up for it.,"[('decor', '9', '4', 'negative'), ('food', '46', '42', 'positive'), ('prices', '65', '59', 'positive')]"
"when tables opened up, the manager sat another party before us.","[('tables', '11', '5', 'neutral'), ('manager', '34', '27', 'negative')]"
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.","[('menu', '15', '11', 'neutral'), ('peanut butter roll', '72', '54', 'negative'), ('classics', '101', '93', 'positive'), ('sushi', '150', '145', 'positive')]"
"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.","[('service', '7', '0', 'positive'), ('food', '82', '78', 'neutral')]"
PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,"[('brunch', '26', '20', 'neutral'), ('eggs served with onions', '70', '47', 'positive')]"
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,"[('menu', '50', '46', 'neutral'), ('guy', '101', '98', 'negative')]"
"The server came to us and was sooo hot, he went over the menu and specials with us.","[('server', '10', '4', 'positive'), ('menu', '61', '57', 'neutral')]"
The Food The best surprises on the El Salvadorean menu are the appetizers.,"[('Food', '8', '4', 'neutral'), ('appetizers', '73', '63', 'positive')]"
"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.","[('Dinner', '16', '10', 'positive'), ('service', '32', '25', 'neutral'), ('hostess', '74', '67', 'negative')]"
"Still, after all the fuss, the food makes you forget about the wait.","[('food', '35', '31', 'positive'), ('wait', '67', '63', 'neutral')]"
I had to physically get out of my seat and find the waitress twice just to ask for more water.,"[('seat', '38', '34', 'neutral'), ('waitress', '60', '52', 'negative'), ('water', '93', '88', 'neutral')]"
"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.","[('bartender', '56', '47', 'negative'), ('drinks', '102', '96', 'neutral')]"
"Three course meal for lunch was $13, the prices for dinner were just as great!","[('course meal', '17', '6', 'neutral'), ('lunch', '27', '22', 'neutral'), ('prices', '47', '41', 'positive'), ('dinner', '58', '52', 'neutral')]"
"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.","[('wine', '112', '108', 'neutral'), ('eat', '142', '139', 'positive')]"
"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.","[('service', '11', '4', 'positive'), ('menu', '36', '32', 'positive'), ('food', '119', '115', 'negative')]"
"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.","[('entrees', '16', '9', 'neutral'), ('waitresses', '59', '49', 'negative')]"
"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.","[('table', '40', '35', 'neutral'), ('reservations', '80', '68', 'neutral'), ('owners', '158', '152', 'negative')]"
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.","[('menu', '8', '4', 'neutral'), ('French bistro fare', '44', '26', 'positive'), ('steamed mussels with French fries', '84', '51', 'neutral'), ('green peppercorn sauce', '131', '109', 'neutral')]"
The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,"[('Scene', '9', '4', 'neutral'), ('spot', '157', '153', 'positive')]"
Get in before peak dinner time (7-8 PM) to avoid harried service.,"[('dinner', '25', '19', 'neutral'), ('service', '64', '57', 'negative')]"
"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.","[('food', '32', '28', 'positive'), ('meal', '63', '59', 'neutral')]"
"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.","[('Dinner', '6', '0', 'neutral'), ('succulent salmon fillet', '49', '26', 'positive'), ('caramelized onions', '156', '138', 'positive')]"
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.","[('drinks', '10', '4', 'neutral'), ('menu', '88', '84', 'neutral'), ('foods', '120', '115', 'positive'), ('veggies', '145', '138', 'neutral'), ('sprouts', '190', '183', 'positive'), ('beets', '206', '201', 'positive')]"
"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.","[('table', '26', '21', 'neutral'), ('drinks', '104', '98', 'neutral'), ('waiter', '118', '112', 'negative')]"
Food is pretty good but the service is horrific.,"[('Food', '4', '0', 'positive'), ('service', '35', '28', 'negative')]"
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,"[('hostess', '11', '4', 'negative'), ('lounge', '46', '40', 'neutral'), ('seats', '70', '65', 'neutral'), ('bar', '81', '78', 'neutral'), ('order', '144', '139', 'neutral')]"
"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.","[('waiter', '21', '15', 'negative'), ('places', '163', '157', 'positive')]"
Summary - good food which they rush you through and do everything to up your bill.,"[('food', '19', '15', 'positive'), ('bill', '81', '77', 'neutral')]"
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.","[('bar', '39', '36', 'neutral'), ('waiters', '57', '50', 'positive'), ('plates', '70', '64', 'neutral'), ('dining room', '101', '90', 'neutral'), ('patio', '127', '122', 'neutral')]"
"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.","[('mexican', '35', '28', 'positive'), ('bar', '51', '48', 'neutral')]"
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.","[('server', '10', '4', 'negative'), ('food', '52', '48', 'neutral'), ('table', '74', '69', 'neutral'), ('water', '111', '106', 'neutral'), ('drinks', '119', '113', 'neutral')]"
sushi a big hamburger and good coctails.,"[('sushi', '5', '0', 'neutral'), ('hamburger', '21', '12', 'positive')]"
"Go for drinks, but not food it will leave you asking, where's the beef?","[('drinks', '13', '7', 'positive'), ('beef', '70', '66', 'neutral')]"
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,"[('reservations', '20', '8', 'neutral'), ('host', '123', '119', 'positive'), ('waiter', '137', '131', 'positive')]"
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.","[('waitstaff', '17', '8', 'negative'), ('food', '55', '51', 'neutral'), ('served', '68', '62', 'neutral'), ('dish', '86', '82', 'negative'), ('pork chop', '166', '157', 'negative'), ('lamb', '185', '181', 'negative'), ('price', '255', '250', 'neutral')]"
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).","[('waiters', '10', '3', 'negative'), ('drinks', '128', '122', 'neutral'), ('lunch', '222', '217', 'neutral'), ('service', '278', '271', 'negative')]"
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!","[('waiter', '27', '21', 'negative'), ('lights', '48', '42', 'neutral')]"
"The portions are not HUGE, but you are very full by the end of your meal.","[('portions', '12', '4', 'negative'), ('meal', '72', '68', 'neutral')]"
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.","[('coffee', '36', '30', 'neutral'), ('tea', '44', '41', 'neutral'), ('cream', '98', '93', 'neutral'), ('dessert', '164', '157', 'neutral'), ('chinese chocolat', '251', '235', 'positive')]"
