text,labs,lab_sim
the whole experiece is horrible so save up and buy a better laptop.,[],0.76563597
this is my second macbook pro and it's better than ever.,[],0.7405523
"this computer was bought because i wanted ""top of the line"", fast, reliable, ha.",[],0.7326948
"after looking at all the pros and cons, i decided on the macbook pro.",[],0.72151464
i have owned macbook pros since 2005 and this is the best yet!,[],0.72031945
it was a hard decision for me since the macbook pro looked so appealing.,[],0.7199973
"i've owned every ""pro"" model apple laptop for the last 8 years, this is by far the worst one i've ever had.",[],0.71765864
i like it better than my big dell laptop.,[],0.71761924
i received this laptop as a gift and let me just tell you that its the worst.,[],0.7152908
i have recommended this laptop to everyone i know who is buying one.,[],0.7146235
i've had my macbook pro for three years now and still love it!,[],0.714482
"purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",[],0.71099335
the newer macbook that i have purchased is one of the best computers.,[],0.7074455
i've had this laptop for about a month now.,[],0.7040065
i have used different laptops in the past and i have to rate this one way above the rest.,[],0.7024901
i did a lot of research and ended up thinking this toshiba was the best one for me.,[],0.7024593
i've always owned a pc and decided to try a macbook to see what it's all about.,[],0.7024388
i am finding my way around this laptop better than my last one.,[],0.7023438
recommended to people as their first laptop.,[],0.7003331
i bought this emachines notebook pc in january of this year and i am highly dissatisfied with it.,[],0.6985147
i've had a toshiba laptop in the past;,[],0.69748133
very happy with my 7th toshiba laptop!,[],0.69170386
i would like to tell you about the best laptop i just got from mac.,[],0.6900356
"well, i bought this laptop a month or two ago.",[],0.6879317
this is the first macbook i have ever had.,[],0.6849471
"finally, i purchased a toshiba.",[],0.6825369
i have owned many different brands of laptops in my life.,[],0.6781956
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",[],0.67573076
i've had hp desktop for over 4 yrs now and not one days goes by that i don't regret buying it.,[],0.67546177
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.",[],0.67517805
i've already recommended this laptop to a friend who eye'd the computer when i took it out of my bag.,[],0.6746671
this was my first macbook purchase ever.,[],0.6715621
i bought this laptop for my son in 2007 for his christmas present.,[],0.6714392
and these are some reasons you should get a macbook pro.,[],0.67076087
"i was waiting for this model to be released since january, and have been holding off on buying a macbook pro until the new model came out.",[],0.6699494
i had a toshiba for 10 years.,[],0.6692564
i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations.,[],0.66771823
this is now my 3rd macbook pro and i really honestly love it!,[],0.66739255
"luckily, dell said they would replace my laptop with a new one, but instead i got a refund and bought a mac.",[],0.6666577
this is another reason to like the mac.,[],0.6647871
"prior to this computer, i owned a powerbook g4 for 6 years (quite a long time for a laptop).",[],0.6646347
"this is the first laptop i've owned, althougth i used several at my previous job.",[],0.6645446
"i do find that my macbook has a lot more bells and whistles than a normal pc especially if you enjoy technology, downloading pictures and graphic design.",[],0.6644478
one of the smartest thing i did was take my time to compare laptops before making my purchase.,[],0.6637848
laptop is to be used like a netbook.,[],0.6636746
love that it doesn't take up space like a regular computer.,[],0.6631087
"i took the laptop home and not even a month later, i began to have problems with it.",[],0.6620653
"so far, it's an average laptop - no better, no worse than the hp i replaced.",[],0.66046596
the only pro to this computer is it was under $600!,[],0.6599598
i came from the dell laptops and now i am so glad i switched when i needed a new laptop.,[],0.6598063
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty.,[],0.6579039
"i love the 15"" macbook pro.",[],0.6577847
"my last computer, a toshiba, cost only $400, and worked like a charm for many years.",[],0.6577083
i was tired of going without my laptop every few weeks.,[],0.65690255
"i've saved a lot of time and headaches so far, using my new macbook pro.",[],0.6564501
i would totally recommend any other laptop over this pile of grabage.,[],0.656294
my first laptop was an acer that i got for christmas.,[],0.65596557
"if you need an affordable, entry-level laptop, this will fit the bill.",[],0.6554755
i had left my regular laptop at home and needed something to use while out of town .,[],0.65544176
"i enjoy very much my new toshiba, purchased specifially for attending online schooling.",[],0.6554381
i also own an hp notebook and it doesn't even come close.,[],0.6542116
"great os, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",[],0.65224856
i was so happy with my new mac.,[],0.6518822
the apple mc371ll/a 2.4ghz 15.4-inch macbook pro notebook is a horrible waste of money.,[],0.65109116
i visited the apple store and was impressed with the 17-inch macbook pro.,[],0.6507894
i purchased this laptop 9 months ago!,[],0.65051216
i have had the luxury (sarcasm) of owning 2 of these laptops.,[],0.64931387
i'm now trying to decide on another dell model.,[],0.6488899
best buy laughed when i told them they should replace it instead of expecting me to be without a computer again for another couple of weeks.,[],0.6481304
"when i got this laptop in 2007 to help me with school, i had a hard time from beginning.",[],0.6478551
"waited on getting this computer, but it has been a great change.",[],0.6475006
"waited on getting this computer, but it has been a great change.",[],0.6475006
i saved for this laptop for 3 months and i can tell you personally it was worth the wait.,[],0.6475004
that whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,[],0.6455268
i got tired of buying laptops and having them stop working after a year.,[],0.6450324
my macbook was worth (after 3 years of use!) $375.,[],0.6445005
i wanted to spend around $700 to $800 so i was directed to a nice looking hp laptop.,[],0.6444309
they claim that i should be happy because i am getting a new laptop to replace my two-month old laptop.,[],0.64193225
"the notebook pc,toshiba qosmio is the best gift my father could have ever gotten me.",[],0.64165175
its been a year and am still waiting to see what there going to do about my laptop.,[],0.640032
both my husband and i have this model toshiba.,[],0.6397803
it out performs any other laptop on the market today.,[],0.63936496
"if you can afford a new laptop, and are in the market for one, of course, then definitely go for this.",[],0.63830084
"i let my friend borrow it, and she knows nothing about computers, and she used it with ease.",[],0.6369479
the 17 in macbook pro has been a wonderful addition.,[],0.63592076
"hp pavilion dv9000 notebook pc when i first got this computer, it really rocked.",[],0.63526016
"anyone who is considering buying an acer computer of any sort, i seriously suggest you look into buying a different brand.",[],0.63505125
"i have had at least eight toshiba laptops, and they have been outstanding, including this one.",[],0.6346913
i got my macbook pro because i wanted to do all the stuff i need to do without worrying about the system quitting on me or freezing for a few minutes.,[],0.63439935
"while it was barely a bargin in the begining, i would never purchase another dell and would not recomend the dell brand to others.",[],0.6336828
so not having my laptop was discouraging.,[],0.6334732
i bought my first macbook after seeing the product demonstrated.,[],0.6333705
do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,[],0.63332003
i returned the computer to hp and they kept it for 3 months.,[],0.63312477
good for every day computing and web browsing.,[],0.63298523
i'm very disappointed in dell.,[],0.63175833
"-stay away from apple, or hope you laptop does not break down.",[],0.63173795
i also like the acer arcade but these were reallythe only two things i liked about this laptop.,[],0.63169694
i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the company.,[],0.6310841
think i would spend little extra to get a better made laptop.,[],0.63095117
the love part of my relationship with this laptop doesn't take very long.,[],0.6307196
i am sorry that i purchased this laptop.,[],0.6299454
i will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when i do so i don't run accross a situation like this again!,[],0.62990326
have returned that laptop unused.,[],0.62891036
we'll save our money to replace it with a mac again!,[],0.6288258
"i spent 2200 dollars on a ""top of the line laptop"".",[],0.6286021
"update: two years after buying this laptop, i am now the proud owner of a lemon.",[],0.62807226
i have had my macbook for almost 6 months and can honestly say that i will never buy another computer if it is not a mac.,[],0.62747025
much faster than my old windows laptop that died on me.,[],0.6274388
"i would recommend mac, and do, to anyone looking to buy a new computer.",[],0.62736636
i bought this laptop the moment unibody product came to the market.,[],0.6267536
i just bought this laptop 3 days ago.,[],0.62666607
"while i mostly use it for email, internet and gaming, i'm confident all other applications live up to the high standard i've come to appreciate from mac laptops.",[],0.62631404
i'm having the laptop returned unrepaired since paying $176 every 3 months just isn't worth it (that's about how long the port seems to last).,[],0.62605685
i was very excited because this was my first personal computer and i was purchasing it with my own money i had recieved from graduation presents.,[],0.6259166
"thank god for ""ctrl z""bottom line, i've been using laptops since the mid 90s and probably the majority of brands out there.",[],0.62469286
i previously owned a toshiba and it only lasted about 2 years.,[],0.6232303
this is the third macbook pro in our family.,[],0.62313837
"don't waste their money, save it and but a mac.",[],0.62277704
i have had my dell latitude for almost three years.,[],0.62271416
now am very aprehensive about toshiba laptops.,[],0.62228435
i investigated netbooks and saw the toshiba nb305-n410bl.,[],0.62201095
my husband got me this for chrismas after getting me a very expensve laptop that did not work after 2 days.,[],0.6211699
you will regret it if you buy any dell.,[],0.62112
i'm glad i made the choice to switch and buy this mac.,[],0.62087816
if you find yourself in the market for a new laptop (and have the money) don't exclude looking at the mbps.,[],0.6197887
it is truly a desktop replacement.,[],0.619033
i got the black macbook two years ago and have never regretted it.,[],0.61900216
i purchased this netbook after my original toshiba laptop crashed right after the warranty expired.,[],0.6185269
"as a die-hard windows enthusiast, i shunned the idea of a mac until this point.",[],0.6179987
mac is extremely different than any other laptop.,[],0.61724484
consumer report recommended toshiba.,[],0.6169627
"i practically have a new laptop with all the ""fixes"" they have done!",[],0.6167617
but i needed a laptop for school use.,[],0.6160771
"never any doubt i would get a macbook, just wasn't sure which one.",[],0.6158234
this is my first computer purchase,[],0.6155966
"it was slow, locked up, and also had hardware replaced after only 2 months!",[],0.6155613
i've had my macbook pro since august 2009.,[],0.61119413
it's a great prodcut to handle basic computing needs.,[],0.61077493
i tell everyone i see out looking to get this or another toshiba.,[],0.6092227
"i initially purchased my macbook pro 13"" in april, and i loved it.",[],0.60828614
"if anything, i would only suggest using one of these laptops if only you have to.",[],0.60725564
"so, owing to these problems, i went out and got myself an apple macbook pro, which i am using with great satisfaction at this very moment.",[],0.60661304
i paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,[],0.6063978
i purchased this laptop while on a business trip to keep up with my email.,[],0.6056042
and i would recommend this to anypne looking for a new laptop.,[],0.6052627
"i can actually get work done with this mac, and not fight with it like my tired old pc laptop.",[],0.6042779
i consider myself an average user and this computer serves my need.,[],0.6040792
"my laptop cost approximately $2,300 and died after only 2-years, 10-months and 18-days of use.",[],0.6037812
dell is a decently made pc.,[],0.60375935
this is not a serious gaming laptop or a serious media machine;,[],0.6034046
dell sucks,[],0.60232913
on the bright side at least i wasn't without my laptop for long this time!,[],0.6018473
we purchase the dell xps several years ago for my home business.,[],0.60143644
i returned the 2nd laptop for a full refund.,[],0.60114855
no more lenovo for me.,[],0.6007476
as an owner of a toshiba satalite laptop computer things you should know before you buy.,[],0.6006954
i previously owned an hp desktop and a dell laptop.,[],0.6003683
i bought this laptop so that the entire family had a computer in the living room;,[],0.5989902
we both recently got new laptops.,[],0.5987808
at first it's like you're in that honeymoon stage with your laptop.,[],0.5984067
seriously considering a larger laptop to replace the dell,[],0.5972067
it is her first laptop and she is thrilled.,[],0.5971355
"i fine apple mc373ll/a 2.66ghz 15"" macboook pro notebook meets all my needs for a laptop computer when on the go.",[],0.5970907
"this is the first time that i tried and owning a netbook although i have used 3 different laptops in the past 10 years, i find not much difference except of course for the screen size.",[],0.59697294
i dont understand why i spent twice as much to get a laptop rather than a desktop when my lap top is completely immoble.,[],0.5969096
i took 3-4 years researching brands and prices of laptops.,[],0.596782
"we were occasional mac users before, but most recently owned a budget pc since it is what we could afford.",[],0.5961627
i am forever changed and will no longer buy a windows based machine for personal use.,[],0.5961523
i'v spent as much for shipping as i would to buy a new netbook -- of course a different brand.,[],0.59555554
i had this computer for one month and had to send it in for repair.,[],0.59487617
i am stuck with a laptop that i cannot do very much with.,[],0.5947786
i've also had to have the keyboard replaced at my expense.,[],0.5943566
"before we got this laptop, had a compaq pasaro for 5 years with no problems.",[],0.59376615
i have used a computer at work but having your own personal laptop is awsome!,[],0.5931928
i could not handle it one hand like i can the replacement computer i purchased.,[],0.5929575
the os takes some getting used to especially after being a windows user for so long but the learning curve is so worth it!,[],0.59199154
"have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of pc in my opinion.",[],0.5914148
i had never owned a mac before;,[],0.59125865
"i had a macbook notebook, and it had absolutely no protection from viruses, spyware, malware, etc.",[],0.59122115
"the hewitt packard pavillion dv6700 was my first laptop, before this i had a dell desktop that i loved.",[],0.5905107
"please, anyone who is considering getting this computer, stop.",[],0.5896854
i bought this notebook and only had it for 3 months if it is overload with updates the boot mgr.,[],0.58959293
"after doing cad work all day at work, using a higher end pc, i couldn't come home and settle for the use of a lower end computer.",[],0.5894724
it turned out it's not really a problem to have a mac.,[],0.5892659
my last laptop gave me a constant battle even though it was also completely new.,[],0.58879614
but reasons we chose this apple computer.,[],0.5884901
i'm going back to dell.,[],0.58742875
really no problems with the hand me down computers i received from my children.,[],0.58726513
my laptop is almost 2yrs old and i have never had any problems with it.,[],0.58723587
remember to do your research first before consider buying a toshiba product.,[],0.5868768
"i saw walmart had the same computer for about $650 but still knowing what i know now,i would not buy it at that price.",[],0.58554393
", which apple doesn't offer, is why i bought my macbook at best buy.",[],0.58518547
i decided i wanted a laptop so i went into the bby store.,[],0.58507
i bought my macbook a few months ago and it has been my baby ever since.,[],0.58483857
not to mention the fact that your mac comes fully loaded with all necessary basic programs.,[],0.58438265
"the flaws are, this computer is not for computer gamers because of the os x.",[],0.58396703
i purchased two laptops (for my husband and 16 year old daughter).,[],0.583714
"by week two, my laptop had overheated and was completely dead even though i did not use it too much.",[],0.58370525
this is what a laptop is supposed to be.,[],0.5835075
