text,labs
i charge it at night and skip taking the cord with me because of the good battery life.,"[('battery life', None)]"
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","[('service center', None), ('exchange', None), ('tech guy', None), ('shop', None), ('team', None)]"
i investigated netbooks and saw the toshiba nb305-n410bl.,"[('toshiba', None)]"
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[('quality', None), ('expandable', None), ('gui', None), ('applications', None), ('lots', None)]"
easy to start up and does not overheat as much as other laptops.,"[('laptops', None), ('heat', None), ('start up', None)]"
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!","[('features', None), ('son', None)]"
needless to say a pc that can't support a cell phone is less than useless!,"[('pc', None), ('cell phone', None)]"
great laptop that offers many great features!,"[('features', None), ('laptop', None)]"
they have done absolutely nothing to fix the computer problem.,"[('computer problem', None)]"
"one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[('gui', None), ('screen', None), ('hard drive', None), ('power light', None)]"
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.","[('pricey', None), ('macbook', None)]"
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","[('i5 or i7 processor', None), ('battery life', None), ('graphics cards', None), ('model', None), ('ones', None), ('line', None)]"
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[('tracking', None), ('multi-touch gestures', None), ('tracking area', None), ('mouse', None)]"
they were totally unconcerned that the computer was not correctly repaired in the first place.,"[('computer', None), ('place', None)]"
toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[('toshiba', None)]"
i love the way the entire suite of software works together.,"[('software', None), ('suite', None)]"
the speed is incredible and i am more than satisfied.,"[('speed', None)]"
this laptop meets every expectation and windows 7 is great!,"[('windows 7', None), ('expectation', None)]"
