text,labs
the whole experiece is horrible so save up and buy a better laptop.,"[('experiece', None), ('laptop', None)]"
this is my second macbook pro and it's better than ever.,"[('macbook pro', None)]"
"this computer was bought because i wanted ""top of the line"", fast, reliable, ha.",[]
"after looking at all the pros and cons, i decided on the macbook pro.",[]
i have owned macbook pros since 2005 and this is the best yet!,[]
it was a hard decision for me since the macbook pro looked so appealing.,"[('decision', None)]"
"i've owned every ""pro"" model apple laptop for the last 8 years, this is by far the worst one i've ever had.","[('years', None), ('model apple laptop', None)]"
i like it better than my big dell laptop.,"[('dell laptop', None)]"
i received this laptop as a gift and let me just tell you that its the worst.,[]
i have recommended this laptop to everyone i know who is buying one.,[]
i've had my macbook pro for three years now and still love it!,"[('years', None), ('macbook', None)]"
"purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.","[('laptop', None)]"
the newer macbook that i have purchased is one of the best computers.,[]
i've had this laptop for about a month now.,[]
i have used different laptops in the past and i have to rate this one way above the rest.,"[('way', None), ('laptops', None)]"
i did a lot of research and ended up thinking this toshiba was the best one for me.,[]
i've always owned a pc and decided to try a macbook to see what it's all about.,[]
i am finding my way around this laptop better than my last one.,"[('one', None)]"
recommended to people as their first laptop.,"[('laptop', None)]"
i bought this emachines notebook pc in january of this year and i am highly dissatisfied with it.,[]
i've had a toshiba laptop in the past;,[]
very happy with my 7th toshiba laptop!,"[('toshiba laptop', None)]"
i would like to tell you about the best laptop i just got from mac.,"[('laptop', None)]"
"well, i bought this laptop a month or two ago.",[]
this is the first macbook i have ever had.,"[('macbook', None)]"
"finally, i purchased a toshiba.",[]
i have owned many different brands of laptops in my life.,"[('brands', None), ('laptops', None)]"
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","[('drive', None)]"
i've had hp desktop for over 4 yrs now and not one days goes by that i don't regret buying it.,[]
"still pretty pricey, but i've been putting off money for a while as a little macbook fund, and finally got to use it.","[('macbook fund', None)]"
i've already recommended this laptop to a friend who eye'd the computer when i took it out of my bag.,[]
this was my first macbook purchase ever.,"[('macbook purchase', None)]"
i bought this laptop for my son in 2007 for his christmas present.,[]
and these are some reasons you should get a macbook pro.,[]
"i was waiting for this model to be released since january, and have been holding off on buying a macbook pro until the new model came out.",[]
i had a toshiba for 10 years.,[]
i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations.,"[('anyone', None)]"
this is now my 3rd macbook pro and i really honestly love it!,[]
"luckily, dell said they would replace my laptop with a new one, but instead i got a refund and bought a mac.","[('one', None), ('dell', None), ('laptop', None)]"
this is another reason to like the mac.,[]
