text,aspect_term,polarity,gold_polarity
i charge it at night and skip taking the cord with me because of the good battery life.,cord,positive,neutral
i charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,positive
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.",service center,negative,negative
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","""sales"" team",neutral,negative
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.",tech guy,negative,neutral
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,positive
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",gui,positive,positive
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,positive
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,positive
easy to start up and does not overheat as much as other laptops.,start up,positive,positive
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",features,positive,positive
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",ichat,positive,positive
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",photobooth,positive,positive
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",garage band,positive,positive
great laptop that offers many great features!,features,positive,positive
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",gui,negative,negative
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,negative
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,positive,neutral
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive ligh,positive,negative
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor,neutral,negative
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",graphics cards,positive,negative
"my only disappointment with the 13"" model is that they're the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",battery life,positive,positive
i took it back for an asus and same thing- blue screen which required me to remove the battery to reset.,battery,negative,neutral
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,positive
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,negative
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,positive
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,positive
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,negative,neutral
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,neutral
i love the way the entire suite of software works together.,suite of software,positive,positive
the speed is incredible and i am more than satisfied.,speed,positive,positive
this laptop meets every expectation and windows 7 is great!,windows 7,positive,positive
i can barely use any usb devices because they will not stay connected properly.,usb devices,negative,negative
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed.,software,negative,neutral
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed.,system,negative,negative
"one suggestion i do have, is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc.",microsoft office for the mac,neutral,negative
pairing it with an iphone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,positive
"i also got the added bonus of a 30"" hd monitor, which really helps to extend my screen and keep my eyes fresh!","30"" hd monitor",positive,positive
"i also got the added bonus of a 30"" hd monitor, which really helps to extend my screen and keep my eyes fresh!",screen,positive,neutral
the machine is slow to boot up and occasionally crashes completely.,boot up,negative,negative
"after paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,negative
i love the operating system and the preloaded software.,operating system,positive,positive
i love the operating system and the preloaded software.,preloaded software,positive,positive
the best thing about this laptop is the price along with some of the newer features.,price,positive,positive
the best thing about this laptop is the price along with some of the newer features.,features,positive,positive
"after numerous attempts of trying (including setting the clock in bios setup directly), i gave up(i am a techie).",clock in bios setup,negative,negative
you will not be able to talk to an american warranty service is out of country.,warranty service,negative,negative
but now i have realized its a problem with this brand.,brand,negative,negative
i sent it back to toshiba twice they covered it under the  warranty.,warranty,positive,positive
i was looking for a mac which is portable and has all the features that i was looking for.,features,positive,positive
also kinda loud when the fan was running.,fan,negative,negative
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",customer service number,negative,neutral
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,negative
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,negative
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,negative
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,neutral,negative
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,negative,neutral
drivers updated ok but the bios update froze the system up and the computer shut down.,drivers,positive,positive
drivers updated ok but the bios update froze the system up and the computer shut down.,bios update,negative,negative
drivers updated ok but the bios update froze the system up and the computer shut down.,system,negative,negative
spent 2 hours on phone with hp technical support.,hp technical support,neutral,neutral
"speaking of the browser, it too has problems.",browser,negative,negative
the keyboard is too slick.,keyboard,negative,negative
nightly my computer defrags itself and runs a virus scan.,virus scan,positive,neutral
"it's like 9 punds, but if you can look past it, it's great!",9 punds,neutral,negative
it's just as fast with one program open as it is with sixteen open.,program,positive,neutral
"still under warrenty so called toshiba, no help at all.",warrenty,negative,negative
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty.,toshiba warranty,negative,negative
amazing quality!,quality,positive,positive
the fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,positive,neutral
the fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,positive
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,positive,neutral
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,neutral
"a month or so ago, the freaking motherboard just died.",motherboard,negative,negative
"the system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,negative
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,charger,negative,negative
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,negative
"if a website ever freezes (which is rare), its really easy to force quit.",force quit,negative,positive
it rarely works and when it does it's incredibly slow.,works,negative,negative
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program.,windows 7,neutral,positive
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program.,vmware program,neutral,neutral
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,positive
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,positive
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,positive
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,positive
purchased a toshiba lap top it worked good until just after the warrenty went out.,warrenty,negative,negative
"i wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,negative,neutral
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,positive,neutral
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,positive
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,positive
"the reality was, it heated up very quickly, and took way too long to do simple things, like opening my documents folder.",opening my documents folder,negative,negative
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,negative
"then, within 5 months, the charger crapped out on me.",charger,negative,negative
and if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,neutral,positive
i love the glass touchpad.,glass touchpad,positive,positive
  i continued to take the computer in again and they replaced the hard drive and mother board yet again.,hard drive,negative,negative
  i continued to take the computer in again and they replaced the hard drive and mother board yet again.,mother board,negative,negative
i am using the external speaker- sound is good.,external speaker,positive,positive
i am using the external speaker- sound is good.,sound,positive,positive
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,positive,negative
"then hp sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,negative
"oh yeah, don't forget the expensive shipping to and from hp.",shipping,negative,negative
"everything is so easy to use, mac software is just so much simpler than microsoft software.",mac software,positive,positive
"everything is so easy to use, mac software is just so much simpler than microsoft software.",microsoft software,neutral,negative
"everything is so easy to use, mac software is just so much simpler than microsoft software.",use,positive,positive
"and if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,neutral,negative
"and if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,negative
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,positive
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,positive
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,positive
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,positive
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,positive
